fecha,valor
5/31/2018,40,00
6/1/2018,47,00
6/2/2018,47,00
6/3/2018,47,00
6/4/2018,47,00
6/5/2018,47,00
6/6/2018,47,00
6/7/2018,47,00
6/8/2018,47,00
6/9/2018,47,00
6/10/2018,47,00
6/11/2018,47,00
